timestamp,is_random_set,training records,validation records,spatial_dropout_prop,recurr_units,recurrent_regularizer_l1_factor,recurrent_regularizer_l2_factor,recurrent_dropout_prop,conv_units,kernel_size_1,kernel_size_2,dense_units_1,dense_units_2,dropout_prop,lr,lr_decay_rate,lr_decay_step,batch_size,epochs,best_training_step,best_val_rmse,val_loss,val_rmse__last_10_avg,val_loss__last_10_avg,train_rmse__last_10_avg,train_loss__last_10_avg,local_path
20200726-170038,1,7352,1298,0.42,109,0.00857,0.02521,0.0152,17,6,2,30,28,0.34,0.0193,0.09,67,512,120,115,0.685064316,1.953656267,0.702909678,1.948873077,0.350345546,1.27363694,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-170038
20200726-173251,1,7352,1298,0.13,99,0.01274,0.02249,0.02345,27,3,3,49,35,0.05,0.0059,0.3,59,512,120,90,0.70283711,2.257873434,0.716941267,2.065323273,0.219701228,1.233276446,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-173251
20200726-180440,1,7352,1298,0.58,54,0.00651,0.01631,0.00213,31,3,5,63,52,0.23,0.0219,0.13,49,512,120,80,0.649417043,1.133561349,0.658235902,0.851309721,0.434024373,0.339131242,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-180440
20200726-183544,1,7352,1298,0.62,33,0.01853,0.03064,0.00607,31,2,3,40,24,0.28,0.0231,0.34,16,512,120,32,0.658124685,1.754108314,0.66334244,0.763390035,0.600475723,0.577166835,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-183544
20200726-190616,1,7352,1298,0.71,124,0.01295,0.00598,0.00534,28,2,5,48,35,0.11,0.02,0.14,25,512,120,74,0.655620694,1.184663679,0.657924789,0.794617875,0.581551176,0.561811843,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-190616
20200726-194053,1,7352,1298,0.54,109,0.02511,0.02473,0.00407,29,2,3,97,67,0.51,0.0229,0.37,23,512,120,92,0.656246543,2.612159678,0.666963845,1.272325081,0.486157596,0.895029339,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-194053
20200726-201331,1,7352,1298,0.63,93,0.01227,0.03846,0.00405,26,2,3,40,30,0.18,0.0339,0.24,24,512,120,64,0.647691369,2.014403188,0.651746637,0.855751029,0.509075725,0.483266202,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-201331
20200726-204446,1,7352,1298,0.19,109,0.02503,0.00671,0.0031,29,2,5,40,35,0.17,0.0211,0.24,54,512,120,57,0.667020798,16.00675942,0.683495998,3.047148843,0.205968255,2.244753624,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-204446
20200726-211713,1,7352,1298,0.41,100,0.01494,0.04081,0.01001,12,2,2,32,29,0.27,0.0318,0.12,21,512,120,27,0.671969235,4.004599818,0.690497726,0.793296688,0.502404374,0.389618995,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-211713
20200726-214809,1,7352,1298,0.12,104,0.014,0.02481,0.00537,20,4,5,14,7,0.09,0.0324,0.18,45,512,120,95,0.676487565,1.390117553,0.678732777,1.805792043,0.220679455,1.059044968,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-214809
20200726-222011,1,7352,1298,0.48,8,0.02601,0.03293,0.00402,13,2,3,35,27,0.2,0.0198,0.11,32,512,120,61,0.669075251,0.828973525,0.677194202,0.788398725,0.590282083,0.560690711,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-222011
20200726-224930,1,7352,1298,0.4,19,0.01135,0.01002,0.00999,28,2,4,24,22,0.31,0.0362,0.13,58,512,120,107,0.672565818,0.943477698,0.695476347,0.884620114,0.474949428,0.434309914,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-224930
20200726-234502,0,7352,1298,0.7,88,0.02755,0.00606,0.00404,26,2,2,48,40,0.09,0.0369,0.1,45,512,120,79,0.643379927,6.32773195,0.646182466,1.236426582,0.548667014,0.962237957,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-234502
